Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA2800, Toronto, ON",35202800,190,59.01%,469,"$106,743.32 ",71.20%,178,63.12%,330,63.10%
"DA2900, Toronto, ON",35202900,200,54.64%,767,"$108,143.03 ",73.50%,276,63.01%,500,64.60%
"DA0279, Vaughan, ON",35190279,121,65.05%,620,"$184,624.45 ",57.94%,232,62.53%,404,63.42%
"DA2307, Toronto, ON",35202307,126,59.72%,442,"$146,133.34 ",71.93%,149,62.34%,284,61.87%
"DA3149, Toronto, ON",35203149,492,80.79%,"1,147","$151,312.48 ",75.56%,502,62.13%,702,60.52%
"DA4529, Toronto, ON",35204529,121,55.50%,532,"$151,335.43 ",79.67%,189,61.76%,328,62.60%
"DA2321, Toronto, ON",35202321,87,52.41%,675,"$88,627.45 ",38.73%,162,61.60%,382,60.54%
"DA4389, Toronto, ON",35204389,260,46.51%,"1,740","$82,083.78 ",71.75%,414,61.52%,747,66.46%
"DA2130, Toronto, ON",35202130,97,46.41%,540,"$98,493.39 ",59.59%,186,61.18%,346,63.25%
"DA3184, Toronto, ON",35203184,149,59.36%,468,"$119,746.46 ",52.96%,195,60.94%,293,60.66%
"DA1062, Toronto, ON",35201062,78,56.52%,284,"$117,007.01 ",76.88%,123,60.89%,191,61.22%
"DA1314, Toronto, ON",35201314,146,61.09%,528,"$156,428.09 ",63.80%,218,60.72%,334,59.86%
"DA0405, Markham, ON",35190405,131,59.55%,703,"$170,350.91 ",72.32%,210,60.69%,420,60.34%
